	Kingdom	Phylum	Class	Order	Family	Genus	Species
FASV951	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
FASV952	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	bilaiae
FASV953	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
FASV954	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	tubingensis
FASV955	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	dimorpha
FASV956	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
FASV957	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
FASV958	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	verrucispermus
FASV959	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	NA
FASV960	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	NA
FASV961	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pseudomerdarium
FASV962	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	curvisporum
FASV963	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	metachromatica
FASV964	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Dendryphion	europaeum
FASV965	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	parasiticum
FASV967	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Eremomycetaceae	Arthrographis	kalrae
FASV968	Fungi	NA	NA	NA	NA	NA	NA
FASV969	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	inflorescentiae
FASV970	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	pilosum
FASV971	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Stephanonectria	keithii
FASV972	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
FASV973	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
FASV974	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
FASV975	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	lobatum
FASV976	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
FASV977	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	carpinicola
FASV978	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	NA
FASV979	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
FASV980	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	hollandicus
FASV981	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
FASV982	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	radicina
FASV983	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	NA
FASV984	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	simulans
FASV985	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Drechmeria	campanulata
FASV986	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
FASV987	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
FASV988	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	minioluteus
FASV989	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	NA
FASV990	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Boeremia	NA
FASV991	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	carnescens
FASV992	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
FASV993	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
FASV994	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
FASV995	Fungi	NA	NA	NA	NA	NA	NA
FASV996	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	baccata
FASV997	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	hansenii
FASV998	Fungi	Ascomycota	NA	NA	NA	NA	NA
FASV1000	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Drechmeria	campanulata
FASV1001	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Oliveonia	pauxilla
FASV1002	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	albobadia
FASV1003	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	albobiverticillius
FASV1004	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	inflorescentiae
FASV1005	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Cadophora	luteo-olivacea
FASV1006	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	NA
FASV1007	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pseudomerdarium
FASV1008	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	NA
FASV1009	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
FASV1010	Fungi	NA	NA	NA	NA	NA	NA
FASV1011	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	persicinum
FASV1012	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	elongata
FASV1013	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	hirtus
FASV1014	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	croci
FASV1015	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	telluricum
FASV1016	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	cucumeris
FASV1017	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	furcatum
FASV1018	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	viride
FASV1019	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia	NA
FASV1020	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	minioluteus
FASV1021	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	nigrum
FASV1022	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	annulatum
FASV1023	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
FASV1024	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	NA
FASV1025	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	aeria
FASV1026	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	NA	NA
FASV1027	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	badalingensis
FASV1028	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Oliveonia	pauxilla
FASV1029	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascus	verrucosus
FASV1030	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	NA
FASV1031	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	viticola
FASV1032	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	NA
