"Var1"	"Var2"	"rn.x"	"value"	"SampleID"	"Field"	"SampleType"	"Cultivar"	"Pathogen"	"deg.sub"	"bet.sub"	"clo.sub"	"eig.sub.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"rn.y"	"from"	"to"	"weight"	"color"	"arrow.size"
"47"	"FASV147"	"s1cmt2"	"15"	0.000261780104712	"s1cmt2"	"Field1"	"Root"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"48"	"FASV147"	"s1cmt3"	"21"	0.000584936898396	"s1cmt3"	"Field1"	"Root"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"49"	"FASV147"	"s1rmr2"	"27"	0.002236652305889	"s1rmr2"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"50"	"FASV147"	"s1rmr3"	"33"	0.001407601045647	"s1rmr3"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"51"	"FASV147"	"s1rmt2"	"39"	0	"s1rmt2"	"Field1"	"Root"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"52"	"FASV147"	"s1rmt3"	"45"	0.011491272438223	"s1rmt3"	"Field1"	"Root"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"53"	"FASV147"	"s2cmr2"	"51"	0	"s2cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"54"	"FASV147"	"s2cmr3"	"57"	0.000852005827724	"s2cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"55"	"FASV147"	"s2cmt2"	"63"	0.001043685701506	"s2cmt2"	"Field1"	"Root"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"56"	"FASV147"	"s2cmt3"	"69"	0	"s2cmt3"	"Field1"	"Root"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"57"	"FASV147"	"s2rmr2"	"75"	0.002908514013749	"s2rmr2"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"58"	"FASV147"	"s2rmr3"	"81"	0	"s2rmr3"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"59"	"FASV147"	"s2rmt2"	"87"	0.000165986811666	"s2rmt2"	"Field1"	"Root"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
